Height,Roughness,Segregation,Diversity
2.38E-06,1.00E-07,0.2000001,0.933333433
2.82E-06,1.00E-07,0.238095338,0.857142957
2.21E-06,1.00E-07,0.271428671,0.847619148
3.14E-06,1.00E-07,0.27952391,0.796190576
3.24E-06,1.00E-07,0.27952391,0.796190576
3.59E-06,1.00E-07,0.322311122,0.725008425
3.59E-06,1.00E-07,0.322311122,0.725008425
3.58E-06,3.42E-07,0.398455329,0.630904634
3.66E-06,3.47E-07,0.398455329,0.630904634
3.66E-06,1.07E-06,0.423216916,0.589173528
4.16E-06,1.58E-06,0.464381926,0.544229345
4.06E-06,1.63E-06,0.464381926,0.544229345
4.64E-06,1.29E-06,0.488056098,0.516045365
4.79E-06,1.20E-06,0.488056098,0.516045365
4.68E-06,1.61E-06,0.503257063,0.49934789
4.87E-06,1.42E-06,0.503261323,0.49934789
5.42E-06,1.83E-06,0.513399539,0.487845673
5.65E-06,1.64E-06,0.513468986,0.487845673
6.67E-06,1.45E-06,0.521353504,0.480147363
2.47E-06,1.00E-07,0.2000001,0.933333433
2.99E-06,1.00E-07,0.263888989,0.805555656
2.36E-06,1.00E-07,0.305555656,0.783333433
3.75E-06,1.00E-07,0.346153946,0.692307792
3.78E-06,1.00E-07,0.346153946,0.692307792
4.34E-06,1.00E-07,0.422078022,0.597402697
4.06E-06,4.04E-07,0.422078022,0.597402697
3.96E-06,1.02E-06,0.459072053,0.552342683
3.88E-06,1.14E-06,0.459072053,0.552342683
4.78E-06,7.48E-07,0.502159735,0.502733536
5.23E-06,1.38E-06,0.527694482,0.474749464
5.13E-06,1.52E-06,0.527694482,0.474749464
5.57E-06,1.96E-06,0.542154067,0.459069112
5.64E-06,2.08E-06,0.542212124,0.459069112
7.12E-06,1.70E-06,0.550042444,0.450963526
7.48E-06,1.58E-06,0.550603009,0.450963526
9.04E-06,1.27E-06,0.554717941,0.446969429
9.24E-06,1.62E-06,0.556581121,0.446969429
9.18E-06,3.54E-06,0.557983605,0.444790319
2.36E-06,1.00E-07,0.2000001,0.933333433
2.72E-06,1.00E-07,0.222857243,0.887619148
2.52E-06,1.00E-07,0.2200001,0.906666767
3.21E-06,1.00E-07,0.248412798,0.836508037
3.38E-06,1.00E-07,0.248412798,0.836508037
3.61E-06,1.00E-07,0.285887546,0.761212221
3.61E-06,1.00E-07,0.285887546,0.761212221
3.81E-06,4.07E-07,0.33657299,0.69369149
3.87E-06,4.09E-07,0.33657299,0.69369149
3.79E-06,1.34E-06,0.405563156,0.609031686
4.05E-06,1.46E-06,0.442359442,0.566892045
4.24E-06,1.19E-06,0.442359442,0.566892045
4.52E-06,1.37E-06,0.474009004,0.530405754
4.41E-06,1.68E-06,0.474009004,0.530405754
5.12E-06,1.39E-06,0.48617245,0.516484923
4.95E-06,1.66E-06,0.486176467,0.516484923
6.07E-06,1.47E-06,0.496648885,0.504707164
6.43E-06,1.41E-06,0.497061283,0.504707164
7.76E-06,9.96E-07,0.500296262,0.501441122
2.38E-06,1.00E-07,0.2000001,0.933333433
2.85E-06,1.00E-07,0.238095338,0.857142957
2.20E-06,1.00E-07,0.276190576,0.838095338
3.40E-06,1.00E-07,0.306666767,0.755555656
3.41E-06,1.00E-07,0.306666767,0.755555656
3.97E-06,1.00E-07,0.379166767,0.6500001
3.99E-06,1.00E-07,0.379166767,0.6500001
4.14E-06,5.01E-07,0.423399115,0.593596159
4.14E-06,5.00E-07,0.423399115,0.593596159
3.96E-06,1.37E-06,0.479944878,0.527546719
4.48E-06,1.72E-06,0.516972613,0.486876419
4.42E-06,1.65E-06,0.516972613,0.486876419
4.93E-06,1.40E-06,0.536764412,0.465216975
4.99E-06,1.48E-06,0.536764412,0.465216975
4.85E-06,2.28E-06,0.551307064,0.450185263
5.42E-06,1.83E-06,0.551376691,0.450185263
6.57E-06,1.71E-06,0.55836123,0.442537789
6.87E-06,1.58E-06,0.559263576,0.442537789
8.29E-06,1.36E-06,0.566340488,0.435801049
2.38E-06,1.00E-07,0.2000001,0.933333433
2.82E-06,1.00E-07,0.238095338,0.857142957
2.19E-06,1.00E-07,0.276190576,0.838095338
3.32E-06,1.00E-07,0.306666767,0.755555656
3.33E-06,1.00E-07,0.306666767,0.755555656
3.79E-06,1.00E-07,0.337423069,0.69372559
3.79E-06,1.00E-07,0.337423069,0.69372559
3.39E-06,6.92E-07,0.385457657,0.6396854
3.43E-06,6.98E-07,0.385457657,0.6396854
3.43E-06,1.28E-06,0.449849418,0.560680351
3.94E-06,1.27E-06,0.494702814,0.511920229
4.15E-06,1.11E-06,0.494702814,0.511920229
4.72E-06,1.06E-06,0.51123747,0.492178923
4.75E-06,1.03E-06,0.51123747,0.492178923
4.91E-06,1.61E-06,0.531434514,0.470788763
4.99E-06,1.56E-06,0.531424104,0.470788763
5.66E-06,1.76E-06,0.54207194,0.458950917
5.48E-06,2.00E-06,0.542208656,0.458950917
6.66E-06,1.49E-06,0.549116818,0.452078859
2.38E-06,1.00E-07,0.2000001,0.933333433
2.89E-06,1.00E-07,0.238095338,0.857142957
2.20E-06,1.00E-07,0.276190576,0.838095338
3.53E-06,1.00E-07,0.306666767,0.755555656
3.53E-06,1.00E-07,0.306666767,0.755555656
4.03E-06,1.00E-07,0.345588335,0.683823629
4.08E-06,1.00E-07,0.345588335,0.683823629
3.84E-06,1.17E-06,0.423399115,0.593596159
3.63E-06,1.39E-06,0.423399115,0.593596159
4.37E-06,1.20E-06,0.478505123,0.528790788
4.96E-06,1.64E-06,0.514453507,0.489161051
5.02E-06,1.64E-06,0.514453507,0.489161051
5.61E-06,1.58E-06,0.535238605,0.466566267
5.32E-06,1.82E-06,0.53523639,0.466566267
6.61E-06,1.59E-06,0.546288476,0.454809617
6.89E-06,1.57E-06,0.546380457,0.454809617
8.17E-06,1.44E-06,0.55253835,0.448220262
8.66E-06,1.21E-06,0.553574422,0.448220262
8.87E-06,2.91E-06,0.557121534,0.444362863
2.37E-06,1.00E-07,0.2000001,0.933333433
2.80E-06,1.00E-07,0.238095338,0.857142957
2.18E-06,1.00E-07,0.252381052,0.866666767
3.24E-06,1.00E-07,0.306666767,0.755555656
3.24E-06,1.00E-07,0.306666767,0.755555656
3.53E-06,1.00E-07,0.373626474,0.659340759
3.55E-06,1.00E-07,0.373626474,0.659340759
3.81E-06,1.00E-07,0.418919949,0.60873763
3.84E-06,1.00E-07,0.418919949,0.60873763
3.64E-06,6.00E-07,0.462110397,0.552334654
3.74E-06,8.87E-07,0.479815038,0.529001926
3.64E-06,1.01E-06,0.479815038,0.529001926
4.00E-06,8.53E-07,0.525450425,0.479817114
4.01E-06,8.71E-07,0.525450425,0.479817114
4.29E-06,1.22E-06,0.544822778,0.459442186
4.37E-06,1.17E-06,0.544822778,0.459442186
4.90E-06,1.05E-06,0.558774623,0.443338827
4.97E-06,9.92E-07,0.558768399,0.443338827
4.79E-06,1.92E-06,0.571892648,0.429462119
2.38E-06,1.00E-07,0.2000001,0.933333433
2.83E-06,1.00E-07,0.238095338,0.857142957
2.19E-06,1.00E-07,0.261904862,0.866666767
3.34E-06,1.00E-07,0.306666767,0.755555656
3.34E-06,1.00E-07,0.306666767,0.755555656
3.78E-06,1.00E-07,0.338095338,0.695238195
3.79E-06,1.00E-07,0.338095338,0.695238195
4.25E-06,3.51E-07,0.405797201,0.612318941
4.24E-06,3.57E-07,0.405797201,0.612318941
4.05E-06,9.95E-07,0.467600676,0.542288461
4.04E-06,1.38E-06,0.5106114,0.494829805
4.45E-06,1.01E-06,0.5106114,0.494829805
4.83E-06,1.21E-06,0.541204134,0.461857241
4.78E-06,1.13E-06,0.541204134,0.461857241
4.86E-06,1.42E-06,0.558650336,0.443548941
5.03E-06,1.41E-06,0.558654497,0.443548941
5.78E-06,1.42E-06,0.571832263,0.42918559
5.92E-06,1.37E-06,0.571891029,0.42918559
6.67E-06,1.16E-06,0.577999073,0.422968152
2.38E-06,1.00E-07,0.2000001,0.933333433
2.87E-06,1.00E-07,0.238095338,0.857142957
2.20E-06,1.00E-07,0.276190576,0.838095338
3.45E-06,1.00E-07,0.306666767,0.755555656
3.45E-06,1.00E-07,0.306666767,0.755555656
4.08E-06,1.00E-07,0.379166767,0.6500001
4.09E-06,1.00E-07,0.379166767,0.6500001
4.28E-06,4.98E-07,0.421182366,0.593596159
4.29E-06,5.00E-07,0.421182366,0.593596159
4.01E-06,1.50E-06,0.479332238,0.528080125
4.48E-06,1.39E-06,0.515889237,0.488544138
4.62E-06,1.31E-06,0.515889237,0.488544138
5.18E-06,1.56E-06,0.535517837,0.466368857
5.29E-06,1.52E-06,0.535515746,0.466368857
5.82E-06,1.94E-06,0.548138323,0.452866894
5.96E-06,1.89E-06,0.548243481,0.452866894
7.24E-06,1.74E-06,0.554239231,0.446793666
7.53E-06,1.65E-06,0.555429996,0.446793666
9.04E-06,1.53E-06,0.559660337,0.442536125
2.37E-06,1.00E-07,0.2000001,0.933333433
2.86E-06,1.00E-07,0.238095338,0.857142957
2.19E-06,1.00E-07,0.276190576,0.838095338
3.39E-06,1.00E-07,0.306666767,0.755555656
3.40E-06,1.00E-07,0.306666767,0.755555656
3.86E-06,1.00E-07,0.345588335,0.683823629
3.91E-06,1.00E-07,0.345588335,0.683823629
4.15E-06,3.28E-07,0.422746539,0.59568671
4.39E-06,1.00E-07,0.422746539,0.59568671
4.76E-06,4.65E-07,0.479889763,0.528908346
4.14E-06,1.26E-06,0.519334379,0.486666668
4.20E-06,1.29E-06,0.519334379,0.486666668
4.99E-06,9.15E-07,0.544061305,0.458713993
4.87E-06,1.14E-06,0.544061305,0.458713993
5.15E-06,1.37E-06,0.561164259,0.440823019
5.36E-06,1.24E-06,0.561174002,0.440823019
6.02E-06,1.38E-06,0.57096542,0.429950619
6.18E-06,1.31E-06,0.57106179,0.429950619
6.78E-06,1.58E-06,0.574556089,0.426414364
2.48E-06,1.00E-07,0.2000001,0.933333433
2.99E-06,1.00E-07,0.263888989,0.805555656
2.36E-06,1.00E-07,0.308333433,0.766666767
3.54E-06,1.00E-07,0.356153946,0.687106327
3.60E-06,1.00E-07,0.356153946,0.687106327
3.89E-06,3.00E-07,0.389836162,0.633002547
3.95E-06,3.03E-07,0.389836162,0.633002547
4.41E-06,1.20E-06,0.436440949,0.573584682
4.46E-06,1.22E-06,0.436440949,0.573584682
5.05E-06,1.59E-06,0.481052143,0.523660556
6.10E-06,2.07E-06,0.499678784,0.50274375
6.23E-06,2.12E-06,0.499642063,0.50274375
7.89E-06,1.83E-06,0.511270775,0.48984425
8.59E-06,1.57E-06,0.511960913,0.48984425
1.01E-05,1.73E-06,0.520204348,0.481317952
9.07E-06,3.55E-06,0.521673855,0.481317952
1.06E-05,3.50E-06,0.521097421,0.481955371
1.22E-05,2.92E-06,0.524361817,0.481955371
1.33E-05,4.69E-06,0.519774011,0.484283046
2.47E-06,1.00E-07,0.2000001,0.933333433
2.98E-06,1.00E-07,0.263888989,0.805555656
2.36E-06,1.00E-07,0.305555656,0.783333433
3.71E-06,1.00E-07,0.346153946,0.692307792
3.75E-06,1.00E-07,0.346153946,0.692307792
4.02E-06,2.65E-07,0.391304448,0.628458598
4.06E-06,2.77E-07,0.391304448,0.628458598
4.32E-06,8.27E-07,0.458902539,0.552439124
3.81E-06,1.36E-06,0.458902539,0.552439124
4.88E-06,1.09E-06,0.501367154,0.503417735
6.03E-06,1.10E-06,0.527250274,0.475111634
5.58E-06,1.65E-06,0.527250274,0.475111634
6.15E-06,1.58E-06,0.541249744,0.459897953
6.47E-06,1.51E-06,0.541344129,0.459897953
7.95E-06,1.47E-06,0.549182659,0.452203243
8.37E-06,1.17E-06,0.550058786,0.452203243
9.42E-06,1.61E-06,0.554302987,0.448162953
8.97E-06,2.80E-06,0.556840503,0.448162953
1.00E-05,3.04E-06,0.557559067,0.446176433
2.49E-06,1.00E-07,0.2000001,0.933333433
3.02E-06,1.00E-07,0.263888989,0.805555656
2.28E-06,1.00E-07,0.330555656,0.761111211
3.62E-06,1.00E-07,0.364762005,0.676190576
3.65E-06,1.00E-07,0.364762005,0.676190576
4.58E-06,4.16E-07,0.41005301,0.605820206
4.27E-06,7.57E-07,0.41005301,0.605820206
4.68E-06,1.33E-06,0.472850779,0.534690899
4.79E-06,1.24E-06,0.472850779,0.534690899
5.40E-06,1.14E-06,0.511313231,0.492323332
5.99E-06,1.97E-06,0.53331705,0.469126212
6.12E-06,1.95E-06,0.533274064,0.469126212
8.05E-06,1.63E-06,0.54373666,0.456978176
8.91E-06,1.19E-06,0.544280456,0.456978176
9.35E-06,2.88E-06,0.550181358,0.450760501
9.27E-06,3.01E-06,0.551457184,0.450760501
1.10E-05,3.37E-06,0.554959845,0.447614928
1.22E-05,3.17E-06,0.558099015,0.447614928
1.34E-05,4.77E-06,0.557220689,0.446032853
2.38E-06,1.00E-07,0.2000001,0.933333433
2.80E-06,1.00E-07,0.238095338,0.857142957
2.21E-06,1.00E-07,0.257142957,0.876190576
3.09E-06,1.00E-07,0.27952391,0.796190576
3.07E-06,1.00E-07,0.27952391,0.796190576
3.51E-06,1.00E-07,0.286713387,0.768997769
3.51E-06,1.00E-07,0.286713387,0.768997769
3.98E-06,1.00E-07,0.346921325,0.680633055
4.00E-06,1.00E-07,0.346921325,0.680633055
3.90E-06,4.29E-07,0.392754272,0.625209705
4.14E-06,5.22E-07,0.439143895,0.573011378
4.17E-06,5.09E-07,0.439143895,0.573011378
4.08E-06,1.35E-06,0.466587821,0.540402326
4.16E-06,1.27E-06,0.466587821,0.540402326
4.55E-06,1.11E-06,0.49441132,0.510149255
4.35E-06,1.27E-06,0.49441132,0.510149255
4.69E-06,1.29E-06,0.513411253,0.489009965
4.54E-06,1.44E-06,0.513398394,0.489009965
